epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.9588,1.42032,1.43874,1.37638,0.855,0.92344,0.94886,0.63062,1.1769,1.21156,1.0267,0.000326667,0.000326667,0.06766
2,49.0056,0.98249,0.68052,1.07876,0.93288,0.92091,0.93952,0.61245,1.36914,0.83446,1.06841,0.000653466,0.000653466,0.0346535
3,69.6702,0.90402,0.60737,1.0435,0.93018,0.93698,0.96996,0.71993,0.97095,0.73251,0.98547,0.000973665,0.000973665,0.00164033
4,96.5087,0.89211,0.58802,1.03339,0.93381,0.96365,0.97155,0.71846,1.0384,0.75256,0.98959,0.0009703,0.0009703,0.0009703
5,118.439,0.83166,0.55005,1.02259,0.98165,0.99652,0.99333,0.74823,1.03915,0.65819,0.92629,0.0009604,0.0009604,0.0009604
6,143.397,0.80041,0.52548,1.00787,0.8871,0.97504,0.97565,0.80073,0.83445,0.56318,0.91186,0.0009505,0.0009505,0.0009505
7,168.1,0.74638,0.49278,0.98481,0.99232,0.9975,0.9927,0.77459,0.9869,0.59872,0.88909,0.0009406,0.0009406,0.0009406
8,190.21,0.74916,0.47975,0.98106,0.9876,0.99165,0.99479,0.83777,0.70366,0.46717,0.81513,0.0009307,0.0009307,0.0009307
9,224.29,0.69091,0.45216,0.96492,0.99448,0.99659,0.99494,0.85748,0.72836,0.55959,0.8225,0.0009208,0.0009208,0.0009208
10,256.92,0.69547,0.44965,0.96147,0.98862,0.99823,0.99475,0.86002,0.64735,0.44063,0.80427,0.0009109,0.0009109,0.0009109
11,287.966,0.7252,0.45848,0.95965,0.94053,0.94814,0.98067,0.85369,0.74527,0.53011,0.8323,0.000901,0.000901,0.000901
12,308.865,0.66285,0.44153,0.95635,0.9682,0.96332,0.98957,0.84216,0.70387,0.46985,0.82326,0.0008911,0.0008911,0.0008911
13,335.672,0.65696,0.42785,0.95152,0.98244,1,0.9928,0.85099,0.7594,0.46057,0.78701,0.0008812,0.0008812,0.0008812
14,356.404,0.64188,0.41956,0.94802,0.99733,0.99859,0.995,0.85058,0.66134,0.47834,0.78514,0.0008713,0.0008713,0.0008713
15,381.838,0.62275,0.40687,0.93214,0.98381,1,0.99345,0.85444,0.72267,0.67341,0.80158,0.0008614,0.0008614,0.0008614
16,401.693,0.60408,0.39641,0.93146,0.99606,1,0.995,0.83237,0.74194,0.45649,0.8138,0.0008515,0.0008515,0.0008515
17,423.204,0.62516,0.40221,0.93367,0.99458,1,0.99496,0.88718,0.56087,0.47344,0.76874,0.0008416,0.0008416,0.0008416
18,444.406,0.56962,0.3794,0.91625,0.98534,1,0.99204,0.90101,0.55205,0.44016,0.7512,0.0008317,0.0008317,0.0008317
19,471.823,0.58533,0.37988,0.9202,0.95849,1,0.995,0.89363,0.56139,0.39162,0.74098,0.0008218,0.0008218,0.0008218
20,498.21,0.56208,0.37066,0.91277,0.99806,0.99979,0.995,0.91585,0.47167,0.39006,0.73393,0.0008119,0.0008119,0.0008119
21,523.817,0.56625,0.36816,0.91355,0.99482,1,0.995,0.92555,0.45699,0.42781,0.72887,0.000802,0.000802,0.000802
22,557.983,0.54381,0.35843,0.91109,0.99777,1,0.995,0.89864,0.55099,0.42795,0.73458,0.0007921,0.0007921,0.0007921
23,583.324,0.52066,0.35234,0.90073,0.99529,0.99982,0.9947,0.91718,0.47648,0.39905,0.69856,0.0007822,0.0007822,0.0007822
24,604.707,0.513,0.34492,0.90169,0.99663,1,0.995,0.90827,0.50675,0.45828,0.70393,0.0007723,0.0007723,0.0007723
25,626.416,0.53197,0.35219,0.90233,0.99784,1,0.995,0.85697,0.67494,0.49753,0.75869,0.0007624,0.0007624,0.0007624
26,647.223,0.53209,0.35979,0.90451,0.93693,1,0.995,0.87694,0.59147,0.49812,0.71945,0.0007525,0.0007525,0.0007525
27,668.517,0.52438,0.34588,0.90026,0.98487,0.99625,0.99463,0.91125,0.48166,0.37633,0.71013,0.0007426,0.0007426,0.0007426
28,689.846,0.50444,0.33511,0.89664,0.99832,1,0.995,0.91295,0.52212,0.4134,0.71791,0.0007327,0.0007327,0.0007327
29,716.499,0.50041,0.33343,0.89388,0.9976,0.99876,0.995,0.89606,0.59587,0.46249,0.71295,0.0007228,0.0007228,0.0007228
30,737.329,0.51946,0.34184,0.89463,0.99736,1,0.995,0.92206,0.44472,0.3932,0.70127,0.0007129,0.0007129,0.0007129
31,758.101,0.50447,0.33094,0.89278,0.9982,0.99944,0.995,0.91286,0.5112,0.52066,0.69625,0.000703,0.000703,0.000703
32,780.04,0.50268,0.32718,0.89389,0.98426,0.96382,0.98997,0.91792,0.47757,0.36272,0.71849,0.0006931,0.0006931,0.0006931
33,800.894,0.48203,0.32027,0.88559,0.99838,1,0.995,0.89321,0.57292,0.46195,0.71243,0.0006832,0.0006832,0.0006832
34,822.253,0.48872,0.32079,0.89023,0.99713,0.99966,0.995,0.93664,0.43091,0.36237,0.70445,0.0006733,0.0006733,0.0006733
35,849.369,0.5112,0.3246,0.88919,0.9973,0.99955,0.995,0.91058,0.4931,0.33795,0.71234,0.0006634,0.0006634,0.0006634
36,870.861,0.45625,0.30634,0.8807,0.99809,1,0.995,0.90161,0.53042,0.38894,0.68972,0.0006535,0.0006535,0.0006535
37,891.424,0.4519,0.30245,0.88083,0.99781,1,0.995,0.91904,0.46749,0.39786,0.68215,0.0006436,0.0006436,0.0006436
38,912.127,0.45365,0.29957,0.87811,0.99597,0.99772,0.995,0.92867,0.41999,0.30607,0.69172,0.0006337,0.0006337,0.0006337
39,934.387,0.43626,0.29848,0.87925,0.99815,1,0.995,0.93214,0.45872,0.4284,0.68387,0.0006238,0.0006238,0.0006238
40,955.639,0.40641,0.28633,0.87179,0.99677,0.99919,0.995,0.93601,0.40113,0.37398,0.685,0.0006139,0.0006139,0.0006139
41,976.919,0.43448,0.2916,0.87451,0.9841,0.9994,0.995,0.94008,0.4207,0.34578,0.69125,0.000604,0.000604,0.000604
42,1003.75,0.41778,0.28686,0.87313,0.99467,1,0.995,0.95497,0.345,0.39965,0.68096,0.0005941,0.0005941,0.0005941
43,1035.14,0.43276,0.29355,0.87675,0.97137,0.99889,0.99369,0.92789,0.44056,0.38835,0.69254,0.0005842,0.0005842,0.0005842
