epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1057.38,0.41916,0.2873,0.87483,0.99824,0.99982,0.995,0.91472,0.4507,0.38501,0.71555,0.0005743,0.0005743,0.0005743
45,1077.91,0.40852,0.28608,0.87152,0.999,1,0.995,0.91844,0.46887,0.39412,0.68533,0.0005644,0.0005644,0.0005644
46,1098.13,0.40757,0.28152,0.87322,0.9966,1,0.995,0.9374,0.3625,0.33376,0.67799,0.0005545,0.0005545,0.0005545
47,1120.72,0.40939,0.2843,0.87263,0.99829,1,0.995,0.91804,0.45293,0.419,0.68841,0.0005446,0.0005446,0.0005446
48,1141.38,0.39339,0.27766,0.8746,0.99822,1,0.995,0.9337,0.38442,0.34599,0.67676,0.0005347,0.0005347,0.0005347
49,1167.54,0.40197,0.27729,0.87186,0.99662,0.99922,0.995,0.95235,0.37045,0.38351,0.67497,0.0005248,0.0005248,0.0005248
50,1188.1,0.40444,0.27558,0.87129,0.99779,1,0.995,0.95199,0.37848,0.43941,0.7036,0.0005149,0.0005149,0.0005149
51,1210.53,0.40599,0.27605,0.86761,0.99739,1,0.995,0.95664,0.38719,0.36848,0.67878,0.000505,0.000505,0.000505
52,1236.64,0.41346,0.27726,0.87012,0.99798,1,0.995,0.9497,0.44922,0.39679,0.68881,0.0004951,0.0004951,0.0004951
53,1262.17,0.39332,0.27243,0.86809,0.99111,0.9508,0.99455,0.95394,0.37386,0.27942,0.67005,0.0004852,0.0004852,0.0004852
54,1281.99,0.38794,0.26481,0.86477,0.99569,0.99908,0.995,0.95862,0.3521,0.35562,0.67883,0.0004753,0.0004753,0.0004753
55,1315,0.39927,0.26845,0.87326,0.99635,0.99961,0.995,0.94616,0.39137,0.30986,0.67061,0.0004654,0.0004654,0.0004654
56,1336.78,0.38007,0.26095,0.86355,0.99157,0.99125,0.99441,0.95225,0.33597,0.2849,0.66653,0.0004555,0.0004555,0.0004555
57,1358.39,0.3653,0.2523,0.86161,0.99797,1,0.995,0.96861,0.30071,0.30215,0.66158,0.0004456,0.0004456,0.0004456
58,1390.8,0.36727,0.25547,0.86033,0.99914,1,0.995,0.93605,0.40603,0.37017,0.66777,0.0004357,0.0004357,0.0004357
59,1412.78,0.37015,0.25315,0.86157,0.99653,0.99603,0.99498,0.97604,0.2828,0.26493,0.66634,0.0004258,0.0004258,0.0004258
60,1440.94,0.36531,0.25282,0.86095,0.99958,1,0.995,0.94005,0.38012,0.33768,0.66962,0.0004159,0.0004159,0.0004159
61,1461.47,0.34859,0.24693,0.85693,0.99482,1,0.995,0.95934,0.36849,0.3563,0.66329,0.000406,0.000406,0.000406
62,1482.19,0.34775,0.2465,0.85848,0.99758,1,0.995,0.96412,0.34414,0.28228,0.66705,0.0003961,0.0003961,0.0003961
63,1503.65,0.34158,0.24316,0.85354,0.99924,1,0.995,0.93642,0.37802,0.36606,0.66519,0.0003862,0.0003862,0.0003862
64,1524.81,0.35295,0.24698,0.85599,0.99832,1,0.995,0.96266,0.29843,0.27501,0.65439,0.0003763,0.0003763,0.0003763
65,1547.79,0.34569,0.24209,0.85914,0.99849,1,0.995,0.96067,0.309,0.30021,0.66078,0.0003664,0.0003664,0.0003664
66,1568.15,0.33509,0.24173,0.85493,0.99848,1,0.995,0.94874,0.35402,0.43257,0.66399,0.0003565,0.0003565,0.0003565
67,1589.8,0.33136,0.23806,0.85165,0.99644,0.99965,0.995,0.95584,0.33578,0.29168,0.66119,0.0003466,0.0003466,0.0003466
68,1615.09,0.3374,0.23894,0.85623,0.99695,0.99986,0.995,0.96276,0.3296,0.30851,0.65959,0.0003367,0.0003367,0.0003367
69,1635.97,0.33236,0.23658,0.85574,0.9981,1,0.995,0.97362,0.27424,0.27384,0.65609,0.0003268,0.0003268,0.0003268
70,1657.58,0.31844,0.23049,0.8499,0.9985,0.99337,0.99475,0.97475,0.27961,0.23103,0.65301,0.0003169,0.0003169,0.0003169
71,1677.91,0.32017,0.23051,0.85375,0.99833,1,0.995,0.96983,0.30095,0.29246,0.6518,0.000307,0.000307,0.000307
72,1698.65,0.31828,0.23015,0.84797,0.99864,1,0.995,0.9706,0.26717,0.33041,0.64813,0.0002971,0.0002971,0.0002971
73,1723.24,0.3081,0.22647,0.84915,0.99886,1,0.995,0.97441,0.25295,0.29142,0.64594,0.0002872,0.0002872,0.0002872
74,1743.18,0.30566,0.22516,0.85108,0.99666,1,0.995,0.97269,0.29617,0.28652,0.64978,0.0002773,0.0002773,0.0002773
75,1765.16,0.30827,0.22471,0.85188,0.99873,1,0.995,0.93885,0.3533,0.35448,0.66074,0.0002674,0.0002674,0.0002674
76,1785.15,0.31065,0.22753,0.849,0.99868,1,0.995,0.96695,0.2738,0.31213,0.65022,0.0002575,0.0002575,0.0002575
77,1805,0.30503,0.22442,0.85464,0.99597,0.99964,0.99499,0.97401,0.28845,0.25859,0.65088,0.0002476,0.0002476,0.0002476
78,1826.63,0.30436,0.22573,0.85003,0.99864,1,0.995,0.95778,0.34576,0.32242,0.6587,0.0002377,0.0002377,0.0002377
79,1846.69,0.30743,0.22483,0.84807,0.99636,0.99965,0.995,0.94923,0.34483,0.28628,0.6589,0.0002278,0.0002278,0.0002278
