epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,271.996,1.36113,1.36928,1.05054,0.61257,0.61667,0.6775,0.36136,1.43594,1.53508,1.07038,0.0007228,0.0007228,0.0007228
44,279.185,1.36781,1.34793,1.05089,0.61358,0.75611,0.70543,0.38507,1.27959,1.29596,1.00013,0.0007162,0.0007162,0.0007162
45,284.458,1.3904,1.37125,1.04827,0.58852,0.66608,0.69652,0.39434,1.28718,1.31697,1.03674,0.0007096,0.0007096,0.0007096
46,289.575,1.40738,1.39723,1.05974,0.49118,0.60667,0.56183,0.30593,1.33825,1.43405,1.0134,0.000703,0.000703,0.000703
47,297.053,1.35651,1.34512,1.04749,0.64629,0.79926,0.78292,0.42382,1.38326,1.16544,1.01762,0.0006964,0.0006964,0.0006964
48,302.268,1.31722,1.29786,1.04283,0.79446,0.78667,0.82843,0.46125,1.30063,1.17837,0.99583,0.0006898,0.0006898,0.0006898
49,308.755,1.32546,1.30132,1.03383,0.71272,0.82398,0.83582,0.44184,1.4216,1.13031,1.00529,0.0006832,0.0006832,0.0006832
50,314.778,1.3227,1.27051,1.02659,0.68402,0.62,0.67247,0.38202,1.27168,1.47,1.0125,0.0006766,0.0006766,0.0006766
51,319.945,1.34747,1.29105,1.04227,0.56592,0.71587,0.70161,0.38234,1.39364,1.29144,1.097,0.00067,0.00067,0.00067
52,327.536,1.33682,1.27502,1.03741,0.7576,0.67,0.76888,0.40986,1.51619,1.23459,1.06081,0.0006634,0.0006634,0.0006634
53,332.698,1.3554,1.28253,1.04644,0.74905,0.82,0.84167,0.45952,1.29711,1.09502,1.0162,0.0006568,0.0006568,0.0006568
54,338.51,1.35259,1.29306,1.03974,0.72291,0.76333,0.80457,0.47686,1.2046,1.17943,0.98521,0.0006502,0.0006502,0.0006502
55,345.303,1.31072,1.26917,1.03497,0.81606,0.76858,0.86657,0.46051,1.34076,1.12915,0.99977,0.0006436,0.0006436,0.0006436
56,350.513,1.31731,1.29608,1.03211,0.61363,0.74787,0.7947,0.42739,1.41678,1.17439,1.01163,0.000637,0.000637,0.000637
57,357.885,1.27592,1.24752,1.01733,0.63473,0.53333,0.64046,0.3656,1.36322,1.42857,1.04559,0.0006304,0.0006304,0.0006304
58,363.032,1.3157,1.25255,1.01616,0.74052,0.79852,0.83375,0.41613,1.55105,1.10673,1.02557,0.0006238,0.0006238,0.0006238
59,368.208,1.26258,1.2325,1.0161,0.73405,0.85108,0.85296,0.48488,1.285,1.06958,0.97935,0.0006172,0.0006172,0.0006172
60,375.443,1.2969,1.26512,1.01158,0.67115,0.72819,0.74671,0.38902,1.32735,1.27033,0.98388,0.0006106,0.0006106,0.0006106
61,380.896,1.26949,1.25258,1.01028,0.74471,0.85394,0.81605,0.46465,1.26369,1.13199,0.98023,0.000604,0.000604,0.000604
62,388.466,1.26704,1.224,0.99939,0.80291,0.85356,0.86185,0.48979,1.2163,1.07409,0.95542,0.0005974,0.0005974,0.0005974
63,394.387,1.22935,1.20752,0.99006,0.6559,0.75667,0.76946,0.43399,1.21121,1.23838,0.96691,0.0005908,0.0005908,0.0005908
64,400.644,1.2323,1.18333,1.00067,0.76931,0.77258,0.85455,0.47194,1.23929,1.13453,0.95629,0.0005842,0.0005842,0.0005842
65,408.005,1.23756,1.1926,1.00221,0.75973,0.83108,0.87354,0.51613,1.16949,1.10179,0.95573,0.0005776,0.0005776,0.0005776
66,413.517,1.24976,1.18004,0.99447,0.77618,0.85333,0.84166,0.49829,1.15467,1.07486,0.94669,0.000571,0.000571,0.000571
67,421.015,1.22557,1.16854,0.98983,0.83804,0.87667,0.91907,0.5226,1.22169,1.04709,0.96726,0.0005644,0.0005644,0.0005644
68,426.443,1.21661,1.14139,0.98803,0.88642,0.91625,0.93381,0.53291,1.19544,1.00998,0.95909,0.0005578,0.0005578,0.0005578
69,432.424,1.2455,1.17704,0.99935,0.77185,0.92386,0.88347,0.48532,1.15993,1.06808,0.95702,0.0005512,0.0005512,0.0005512
70,439.761,1.25496,1.22185,1.00204,0.71598,0.81667,0.77778,0.46357,1.15696,1.13738,0.95221,0.0005446,0.0005446,0.0005446
71,445.344,1.25253,1.20876,1.00196,0.7455,0.86333,0.84318,0.49202,1.32349,1.03625,0.97083,0.000538,0.000538,0.000538
72,453.322,1.22569,1.16593,0.99171,0.78587,0.81333,0.84158,0.47296,1.3673,1.14105,0.98559,0.0005314,0.0005314,0.0005314
73,458.763,1.19245,1.12259,0.98181,0.91534,0.89635,0.95097,0.5863,1.09312,0.97249,0.9241,0.0005248,0.0005248,0.0005248
74,465.363,1.21386,1.16753,0.99736,0.76002,0.7437,0.80513,0.46258,1.33761,1.21044,0.98348,0.0005182,0.0005182,0.0005182
75,471.636,1.21517,1.14159,0.98559,0.85712,0.93549,0.92743,0.56083,1.22882,0.94932,0.94683,0.0005116,0.0005116,0.0005116
76,477.037,1.19289,1.13068,0.99286,0.85347,0.90667,0.93653,0.5794,1.11883,1.00739,0.95638,0.000505,0.000505,0.000505
77,484.503,1.17792,1.0974,0.97695,0.82225,0.68384,0.79823,0.41522,1.34332,1.41542,1.0012,0.0004984,0.0004984,0.0004984
78,489.797,1.21082,1.14072,0.97933,0.79304,0.65729,0.7745,0.42647,1.28547,1.31979,1.01271,0.0004918,0.0004918,0.0004918
79,495.612,1.1785,1.12442,0.97747,0.86686,0.90589,0.92826,0.52663,1.1544,1.00905,0.9416,0.0004852,0.0004852,0.0004852
80,502.431,1.18874,1.11677,0.97933,0.72795,0.67333,0.72533,0.38677,1.37361,1.31171,0.99573,0.0004786,0.0004786,0.0004786
81,507.721,1.16345,1.11674,0.97212,0.87702,0.94667,0.94931,0.59436,1.11755,0.90386,0.934,0.000472,0.000472,0.000472
82,515.218,1.19472,1.1219,0.97863,0.94072,0.94675,0.9726,0.6313,1.12952,0.8591,0.92788,0.0004654,0.0004654,0.0004654
83,520.66,1.14923,1.09759,0.9667,0.9669,0.91793,0.97935,0.62141,1.17225,0.85842,0.92614,0.0004588,0.0004588,0.0004588
84,526.155,1.18658,1.10116,0.98235,0.88254,0.9472,0.94853,0.57797,1.10771,0.94454,0.93151,0.0004522,0.0004522,0.0004522
